tweet,class
اه والله حرقوا دمنا يلا بنحب مجانين  ,0
قرب ربنا وهتقرب منك كل حاجه حلوه  ,1
 KirazMevsimi  MohammadChahine ياريت نكسف التصويت علي رقم 2222222 للصوت الدهبي  ,1
تاني اكيد راجعين انا دايب وكلي حنين  ,1
اللي يشوفها في الشارع ميشوفهاش الانستجرام  ,0
سنين اتفرجت مسلسل برغم اني بكره المسلسلات ان واحده تتعمي واللي بيحبها يروح يدرس مخصوص طب عيون علشان يعالجها ده قهره جماعيه جماعه  ,0
افلح ان صدق والمقصود   قطر   ,0
قاعده الصحاب في نص الاسبوع بتقرب اكتر قاعده اخر الاسبوع  ,2
        الدنيا كتاب انت فيه الفكر  القاءل    الست      ,2
دلوقتي جاي بتلعب علي خبزك وعجنك  ,0
الخوف بالف نصل      كل نصل ينغرس في حلم قادم      فتسود حاله نزف لكل الاحلام      ويسود البحث عن ذره امان     وامنهم خوف      ,0
الستاذ امير طعيمه اتصور سلفي مع شاهين ومينا بجوار كاس لقب ستار اكادمي  MohammadChahine  ,2
انت اخر واحد الدنيا ممكن شيرين تبكي عليه    انت فاهم  ,0
طبعا اهم الكتابه والاحساس الاملاء الشيء لزوم الشيء       ,2
مساك اروع  ,1
في حد بعت هداي لشيرو  ,2
كنترووووووووول نادوا دعاء بقي  StaracArabia  DoaaElSebaii  ,2
كنت باءس حياتي وحزين الساعه12 لكن دلوقتي متفال ومبسوط فشخ مغير حوال  ,1
اوعي تستسهل ماده  ,2
ماهو خلص الفيلم اللي كتبته علي عكس ما كنت انا بتمني    دا انا كنت في حبك الاول ابليس متعشم في الجنه  ,0
انا كتر الانشغال حاسس ان في وقت اجازتي كاءن غريب في بيتي بتعرف علي الاسره وجديد  ,0
اه علي الجامعه امتحانات الجامعه  ,0
فعلا صح عندك حق الله يرحمك امي  ,1
تيجي عليه يابن الاحبي بورده     يسلم علي كس امك  ,0
ربنا معاك ان شاء الله  ,1
سهام الليل صاءبه المرامي وترت باوتار الخشوع يسددها المرمي رجال يطيلون السجود مع الركوع  ,2
قاطعهم وقل  تبا لكم  ,0
راح  _   ,0
   نكون مفرغين ولا نحوي الا الخواء حينها سوف نكون اقل شعورا بالالم       ,0
انتي المفروض ثانوي صح   ,2
انا السبت هبدا مذاكره  ,2
تفكيرك في محله   ,1
جديد علي اهلي في تويتر  ,1
طبعا انتي سقعانين وانا كمان بس انا عرقان والسخونيه ديه بنت جزمه  ,0
وانت اهل ميتين امه ياحما  ,0
كنت زمان بستني سءالك عني دلوقتي مبقاش يفرق   ,0
 بس سيبك انت     انا مبسوط باللي حصل انهارده امبارح         محدش قالي عقبالك      D       ,1
  الوطن عبدالمنعم ابراهيم      فتافيت سكر    السينما المصريه  ,2
فرقوا بين الناس اللي بتحبكو فارقين معاهم بين اللي انتو بنسبه ولا حاجه  ,2
    لا  عرص      ,0
المشكله ان انا لسه جعانه بجد  D  ,2
شاعرنا المحترم يعني ايه العيون االممكنه اه تعني كلمه ممكنه مش فاهمه حاجه ممكن رد  ,2
رب عدلها   ,1
انا كل ما اعرف حد ابن ناس يطلع كان صايع وربنا هداه ياما ابن ناس وحد علي افاه فا هيبقي صايع طب ليه كده طا  ,0
يلا تصبحوا خير    ,1
اصلا مسلسل الشمال والجنوب ده بكرهه كله علي بعضه كفايوه فانزه الغتت  ,0
علي بعد خطوات بسيطه تحقيق حلم شاهين كلها يومين والحلم يتحقق تخيلوا الفرحه علي وشوشهم اعلان النتيجه بفوز شاهين  MohammadChahine  ,1
مبحبش اني مضايقه والله بس بيبان عليا بقلب وشي غير قصد  ,0
حسبي الله ونعم الوكيل     ,0
احنا الزمالك احنا ولا نسيتوا  P  ,1
ربنا يهديكي  ,0
وقلبي نبضه صوت نبضك    ,1
ياسمين حمدان لا مش انا اللي ابكي  ,2
فيه شخصيات في حياتي موجوده بس عشان تحرقلي دمي   ,0
استغفر الله العظيم  ,0
تحلو مراره عيشي في رضااالك                ,1
اهون عليكي تهوني عليا يالا داهيه     كرهتك  ,0
هتنجحي خلاص نامي ضميرك مرتاح  ,1
ورايا امتحان ابن جزمه كمان ساعات مش ناقصه  ,0
الحمد لله  ,1
    عن كام مره حبيت صدفه كام مره لعنتها        ,0
      كثيرهہ امانينا يارب حقق ما تراه خيرا  ويسعدنا       ,1
ليث نايم وفرحنا اننا شوفناه بيضحك الاكاديمي هتخلص بكره احنا فاضين دلوقتي التصويت بليزز  LaithAbuJoda ليث ابو جوده  ,1
ان شاء الله نصبح علي خير     ,1
اعلام ابن ميتشين كلب     ,0
   اللهم طهر قلبي كل ضيق  ويسر لي امري في كل طريق      ,1
    بوح ياحادي العيس وينك غايب مده لاعيس لاصحرا ولا ماغير ذكري تهز القلب   وتهده واقول عادي والله مهو عادي  ذلك_الرجل     ,0
انت حب واخر حب هعيش وياه    واللي بيني وبينك احساس اكبر معناه  ,1
اه التييييييت بس احنا سرقنا صور كتييييير هطلع عليهم النكد كله  ,0
الفكره اللي ماخذينها عني  رجعوها والمره اليايه لا تاخذون شي مو لكم عيب هالحركات  ,0
   انا فضلت متمسمره للدرجه دي انا مبحسش اساله طلعت في راسي وطفيت الاغاني وبعدين قولت طب وانا هعمل ايه وشغلت الاغاني تاني           ,0
الشتا مبيسيبش حد سعيد     ,0
انا كدا خلاص اخري جاب اخره مني  ,0
يوسف انت خول وامك عارفه  ,0
بس انا لو غبيه كنت هرتاح المشكله اني بتغابي لو بنسي هرتاح برضو المشكله اني بتناسي مش بعرف اسامح كمان مفرمله نفسي اني انتقم  ,0
تسلمواااااااااا  ,1
وانا الناس يارب واشتقت بيتك وضعته    فاللهم ارزقنا زيارته  ,1
همسكهم الاتنين اخبطهم في حيطه نبدا علي نضيف  ,0
   انا المفروض اروح الكليه بكره  اللي النهارده الصبح يعني عشان ادفع المصاريف عشان مش هدخل الامتحان لو مدفعتهاش     D      ,0
اللي ميخافش ربنا    خاف منه  ,2
انتي منين اصلا وعايشه فين  ,2
صلاه الفجر  ,2
المشكله بتواجهك في مكان محدد ولا مكان وبالنسبه لخدمه ال3G ايه علامه التغطيه الخاصه بالانترنت اللي بتظهر لك Zahran  ,2
اللهم تقبل منا ومنكم صالح الاعمال  ,1
ممكن حد يكرهك بمجرد انك محبوب لناس كتير  ,0
كل سنه وانتي طيبه يامديره واحه الاسلام وربنا يزيدك نور ورفعه انتي والمنتدي بتاعك اتمني لكم كل الخيرات واارفعه علي الدوام  ,1
اللهم بشرنا بشاره خير لم نتوقعها ولم نكن نحلم بها ورزقنا رزقا لم نسالك اياه ولم يخطر ببالنا وجنبا شرا انت اعلم به منا ياحي ياقيوم  ,1
ياصباح الفل    ,1
حد قالك انك واحده وسخه بلوووك  ,0
اه ده هدفك يعني القصه انك تعملي فتنه صح متخافيش فانز سلوم وفانز بسوم واحد وياما عدت اشكال زي دي وماثرتش فينا  ,0
      وكنت ازعم مثل الناس اذ زعموا    بان غاب عني غاب عن بالي واليوم كذبني قلبي وكذبتهم    فارقتهم  واقاموا بين اوصالي     ,0
يرزقك خدمتها علي اكمل وجه ويكتب الله لك الثواب  ,1
كنت بحب المذيعه دينا عصمت لما علي قناه النيل للاخبار اون في  للاسف مستواها نزل علي سي سي اكسترا  قارءه نشره ممتازه   ,0
انا خلاص قررت مش هذاكر حاجه غير ليله الامتحان عشان كل مااذاكر حاجه انساها تاني     كفايه تضييع وقت المذاكره بقي     ,0
كنت واقفه في البلكونه بدري كده فلقيت عامل النظافه منضف الشارع يادوب طلع لاول الشارع ورجع تاني منضف تاني ولا  الاستهتار_اسلوب_حياه  ,0
عيونها يتالف اشعار  ,1
الله وبحمده  ,2
ارموهم في اعماق البحار حتي تشتت الامواج اشلاءهم     ,0
واتاري المحاسبه غداره غداره  ,0
 عن الناس اللي عايشه عشان توجعك بس  ,0
   وضوءك لصلاه الليل وصلاه الفجر مع شعورك بالبرد القشعريره كفيله بنسف جبال الخطايا قد تحملها        ,1
الورد عنتبلي بيه  ,1
حد شغال في بنك  ,2
اه الله تعبنا فشخ  ,0
يحيي لس مكلمني مصتقدش لسه حي ممتش  ,1
وجهه نظر برده  ,2
 gt   lt الوضع يطاق  ,0
      في تصريح له السبسي يطلب تفويضا الشعب لمواجهه ارهاب محتمل    واضح ان الكتلوج واحد      ,0
 كيف_ننصر_ديننا 1 السير في طريق العلم 2 الدعوه الله بما معك العلم 3 ان لم تستطع فكن محبا للعلم واهله  ,2
مشكله اااي  بت عايزه الواد  يهتم بيها ال24 ساعه حتي  نايم  الرحمه_حلوه  ,0
ريت كلهم زيك بنتي والله  ,1
صباحووو  _   ,1
  القرضاوي مهاجما  قطر  لا يحتفلون بالمولد النبوي ويحتفلون   الكريسماس    ماانت عايش في قطر السينات لسه واخد بالك دلوقتي  ,0
 الوطن بالفيديو  القرضاوي يهاجم  قطر  لا يحتفلون بالمولد النبوي ويعتبرونه بدعه  ,2
طريقك مسدود مسدود ولدي  بصوت سعيد صالح   ,0
طيب ياشرطه يامصريه في كتير اخوان في المصالح الحكوميه وعاملين شغب والمديرين بتخاف منهم وبيعملوا فتن واجتماعات  ,0
ده انا كنت ناسي والله ورجعني الحنين      وتحت شباكك بيرميني الحنين     ,0
انقلاب ايه ربنا يقلب مصرانكم ان شاء الله  ,0
احا    يعني صاحي علي بليز كول مي وقولنا ماشي انما ملاقيش علبه السجاير    احا بجد دا انا شارب سجاره واحده بس  ,0
السنه ملهاش دعوه بنجاحك وفشلك والحقيقه انك فاشل عشان انت خول وعلق مش عشان انت سء الحظ او قوانين الطبيعه والزمن بيتامروا صانع الساعات  ,0
   رسول الله    لاتقولواللمنافق سيدنا فانه ان يك سيدكم فقداسخطتم ربكم عزوجل       الصحيحه 371       ,2
رب امنحني قلب مبتسم يسعد  حولي اغمرھہ القوھہ حتي لا  ضعف شيء سواك     الخيرات  ,1
 Mama ملاحق هيدي      ,0
الثانويه دي بتنمي الغباء  ,0
لا تطلب الله مالا تستطيع تاديه شكره او تحمل عبءه  والا  فلما ءاتاهم فضله بخلوا به       فاعقبهم نفاقا في قلوبهم يلقونه  ,2
مش ينفع متعاطف او مءمن بفكرا او راي او شخص او حزب او كيان   الخ وتقارنه بشبيه ولكن متناقض مع الشء دا   لن منصف بالمرا      ,0
ولسوف يعطيك ربك فترضي     الم يجدك يتيما فاوي     ووجدك ضالا فهدي    ووجدك عاءلا فاغني  ,1
 المصدر  الروبل_الروسي يتراجع 0 7    الدولار للمزيد  ,2
  المصدر     برنت    يتراجع باتجاه 61 دولارا للبرميل في التعاملات الاسيويه للتفاصيل  ,2
 مساااااااء_الخيراااااات    ,1
قم بتجهيز ملعب  نجيل_صناعي كامل متكامل مع  بيبا_سبورت باقل سعر وضمان 01027399960 01027399962  ,2
فءاد المهندس شويكار  ,1
موديول منحس اوله  ,0
      لك الحمد ربي عدد خلايا اجسادنا المتعافيه وعدد ايامنا لا نشكوا وعدد نعمك لا نحصيها  الحمدلله     ,1
حفظ الله مصر  ,1
   شكرا لانك في حياتي شكرا لانك حياتي الحب        ,1
الملل بالنسبالي اشبه بالموت  ,0
وتعيش جيش بلادي  ,1
علبه كشري وسط      يعني لو اربع افراد 24     بلد مفيش متها امل     ,0
اصاله دي حاله جميله  ,1
اريد عمل اناساءق  ,2
سابتسم في وجه يكرهني فان لم اكسب محبته سانجح في فقع مرارته  تمثلني وبشده  ,2
بقوا بيتكلموا مع بعض شكل دعاء اصلا متعرفش ايه اللي حصل بره مشفتش حاجه  DoaaElSebaii  StaracArabia  ,2
222222222222222222222222222222222222 اللقب لا يليق الا شاهينووووووووو  ,1
يسطي تمام مفشوخ شويه امتحانات عملي خرا اهم حاجه مبسوط ياسطا  ,0
والله كدابين ما انا ميزان اهو  ,0
السلام عليكم ورحمه الله وبركاته اه  وسه  شرفت بمتابعتك  ,1
احا احوه كس ام حسام واخوه  ,0
الاهلي  ,1
  الوطن غاده عبدالرازق تنشر صورتها   اتحاد الطلبه    وناشط  مربيه اجيال واجيال  ,2
الحمد لله علي نعمه المناخير الصغيره  ,1
حساب شيرين يحيي  ShereenYehia  StaracArabia  ,2
الدكاتره نفسي افهم انا شغال معاك الترم طالع عين اهلي تيجي بت اخر الترم تنزلك دمعتين تحطلها مشروع تقديره امتياز  قسم_ دراما  ,0
ربنا يخليهولك ويسعدكوا  ,1
الله واكبر علي رنوووشتنا ربنا يكتر لقاءتك يارنا اخنا مابنشبع منك ابدا وربنا يوفقك يارب وتكون البر مطربه في الوطن  ,1
 انا نفسي مره اجرب اكون ليك حد اقرب        ,0
انت موجود في خيالي اكتر مانت موجود في الواقع  ,0
حبوب منع الفهم  ,0
والله كنت ناوي اذاكر بس واضح ان مفيش نصيب   ,0
 ,1
كل سنه وليبيا بخير  ,1
مش كفايه اسمك عجيب كمان عامل الشكل دا  ايساف  lt  lt  lt   اسفاف  ,0
محاسب يحاول الانتحار بالقاء نفسه المترو لعجز مليون بعهدته  ,2
في  هنعود دا وعود وف غيابو اكيد لسه الامل موجود  ,1
    ما عربي بيطلع عنيهم بردو           ,0
اضحك والضحكه تبقي ضحكيتين واتنين اتنين في اتنين  ,1
هههههههههههههههههههههه صح والله  ,1
وانت بالف خير ميرسي احمد  ,1
 StaracArabia واحلي تحيه لاولاد بلدي اجمد ناس المصريين وصحابهم اللبنانين طبعا حد هيسال وكنوزه مقلتش كنزه لان حسبتها كمصريه لانها بنتنا كمان  ,1
ال كان بيبعتلك ويسال بعد فتره لما يشوف رسالتك وميردش معناه ان الشخص ده معرفه وسخه الاول  ,0
بس زملكاوي عرص  ,0
 MinaAtta فانز مينا ليه كل مسابقه تصويت نايمين صوتوا لمينا بقا  ,0
رنوشتي ايه رايك صورتك مع فكتور نفس صور الحفله بس مش عارفه انتي بتبقي زعلانه كده  ,0
تشكيل الاهلي مسعد عوض شريف عبدالفضيل سعد شريف حازم لءي واءل غالي رزق السعيد سليمان تريزجيه متعب  ,2
لو كل واحد يخليه فحاله بس   ,0
عامه الطريق كمان كان واقف واقفه طين لسه داخل زايد اهو  لاتيف  ,0
جاريدو بيهرج والله  ,0
ايمن يونس ده رغاي فشخ وحورتجي  ,0
باعو قصر البارون ب6مليون وده تمن حته ارض في اوسخ حته في مصر قالك عصر مبارك 30سنه سبب الخراب اخرص ياعرص  ,0
حفل نانسي غدا  مصر في جاردن سيتي فندق      ,2
فورد توورس  بوابه_المصدر شاهد الاعلان بالكامل  ,2
انصرنا انصرنا يارب انصرنااااا  ,1
بنكدب لما نتكلم عشان عارفين لو اتكلمنا جد هنفترق بعدين  ,0
دماغي اللي شغاله 24 ساعه  ,2
لا ده عشان عيونك حلوه فشافت الصور جميله  ,1
السلام ورحمه الله وبركاته وجووووووووول للاتحاد  D  ,1
استر يارب اولها بركاتك ابن الفقريه  ,0
ما تسترجل ابن بت المره الخول انت  ,0
مبقتش بعترف بكلمه انا اسف ديه  ,0
الكلاكس اله تنبيه   لكن في مصر   اله ازعاج ياريت ينزع السيارات ولو لمده سته اشهر لان عدم وجوده بالسياره يجبر قاءدها علي السير بادب  ,0
ياارب عالي انصر  الاهلي الغالي  ,1
حبيبي انا لك يديك ادخلني بين ضلوعك ضمني بقوه اعتصر ضلوعي ونبضي يحضن نبضك  ,1
غالي متطلعش دين ابونا  ,0
قبلتي في صلاتي وقفت اصلي  ,1
2 1من الرجاء 0 0من الاسيوطي 0 0من الاسماعيلي 0 0من وادي دجله ودلوقتي 1 0من الاتحاد   الاهلي مش فوق الجميع الاهلي فوق بتاع انديه الدوري  ,0
والله وانا له فاكر ماتش الكاس مع الرجاء اللي كسبانه بالعافيه قولت ده فاشل  ,0
اقسم بالله نادي ابن وسخه كل ما يبقوا خسرانين ولا متعادلين الفرقه كلها تنط ال18 علشان تاخد ضربه جزاء حاجه قرف  ,0
العب اخضر  ,1
التصوير الاخراج في الماتش بتاع الاهلي زفت اوي  ,0
انا استحمل حاجه بس حسام حسن ميكسبش الاهلي  ,0
ولاد المحظوظه كوره زي دي تتلعب بالشكل ده وتيجي في العارضه كسم الحظ وتترد بكوره زي دي وتطلع بره في حظ في الدنيا كدا  ,0
حاجه وسخه   هارميه فعلا لاني زهقت    ,0
عاءله ناظم بيك  ,2
عععععههههههههههه التاني الاتحاد ههههههههههههههه هههههههههههههههه  ,1
ايه المعلق ابن الكلاب ده     ,0
توء توء  ,2
عته والله  ,0
بدات الحن النشيد  ,2
احاااااا    شريف حازم جاله شد    حاسبله فاول  ,0
   بعض الثوابت يجدر التعلق بها في زمن الفتن والمحن والتقلبات  فهي قول الله  وعد الله  ولا يخلف الله الميعاد       ,2
بكره الاتحاد بكرهووووووو  ,0
   لو مشينا بمدا ربنا بيوقع الناس اللي بعض او بيكملوا بعض مش هلاقي حاجه دول تتحط جنبي غير شبهي وهنطلع عين بعض ففاكس ما تعملش كدا      ,2
لا اريد المستحيل فقط اريدك انتي قلبك حضنك وكفي  ,1
الحمدلله كشف عن مصر الغمه وانقذها العصابات  ,1
لا موجود شقيقتي  ,2
عامه خسر تريزيجيه هجوميا وكمان كفهءته دفاعيا قليله  ,0
انا ساكنه الاسكا     ,0
ما كان قلبي في مديحك يشتفي او يكتفي بفصاحه البلغاء  ,1
ليه عم جاريدوا حتشمت فينا ولاد ال     البوابين  ,0
كان ليها اسبابها    كان ليا اسبابي كان للقدر اسباب كان نفسي اكمل اه كان نفسها جايز    اهو كل واحد ساب  ,0
بيكفي تلعب باعصابي   ,0
روحي الهي اشوفك داكتوره قد الدنيا زي ما بترفعي روحي المعنويه قادر كريم هههههههههههههههه  ,1
حتي الاهلي خسر مفيش فايده  ,0
اعشق الجنس  ,1
 مش_هنكتب_اسامينا_وهنفولو_بعضينا ان الصراع الضمني بين اشكاليات التواجد الحسي  اعطاء الفولو  ,2
انا عندي صداع رهيييييب ده اللي مبوظ مودي  ,0
الاهلي مغلوب  ,2
انت طيب بخير رب  _   ,1
تحيه كبيره للاتحاد بجد فريق حلو اوي وبيلعبوا كوره جميله  ,1
الاتحاد سيد البلد لولولولوي  ,1
احنا مكناش بنتكلم عليهم ولا بنجيب سيرتهم سواء خسرانين او كسبانين مبيفرقوش معانا اصلا بس كلامهم الزمالك ال خلانا نتكلم عليهم وهما خسرانين  ,0
معه علي الحلوه والمره هعه  ,1
ليييييييه كده اخي  اخي حرام اخي بصوت عبد العزيز     ,0
الحمد لله   يبقي  الاهلي هوا فرحتنا وحياتنا مفيش مشكله لما يبقي سبب حزني  بس دا ميمنعش اني فرحت كتير بسببه المره معاك  اهلي  ,1
ولو وقع ليه قومه     الاهلي  ,1
بين الاوراق كنوز مخبءه لمن يبحث  ,2
 MinaAtta ولعها واخربها يامينو اخر ولما ترجع هاتولع اكتر  عن_عشقي_للصوره_دي  ,1
حجم الاتفاقيات اللي عقدتها القياده المصريه مع القياده الصينيه مبشر ويفتح الشهيه لمصر الجديده بعيدا عن المزايدات السياسيه لبتوع الليبراليه     ,1
عالحلوه والمره معاه  ,1
ميلاد مجيد   سوريانا  ,1
مش لوحدك شوف التلفونات والضحك بس ولا يهمنا الاهلي برضوا القلب وماتش ويتعوض باذن الله  ,1
ماتش بكره هيحدد كتير واعتقد اختبار بس لازم برضوا منزودش الفرحه او لا قدر الله لو حصل حاجه نقفش لازم نعرف ان فريقنا ماشي كويس  ,2
مباره ممتازه حيث اللاعبين والمدربين والتكتيك والاثاره والجماهير وكان المباراه في الدوري الانجليزي مجهود كبير للفريقين  ,1
 زهقنا_من حد بيقول معلومه وغير بيها حياه ناس غلط  ,0
وصحيح تتوقع ايه في البوكسينج داي  ,2
 زهقنا_من شبكه  فودافون مش موجوده اساسا طول  ,0
ممكا اقابلكم مترو الجيزه او الشهدا  ,2
المشكله ان العيب والتقصير مش مني اصلا المواد لا بتتفهم ولا بتتحفظ  ,0
احنا الجيل اللي شايب شباب  ,0
دايما اسمك في الذكريات دا انت كيان المعجزات    دا انت الحياااااااااه  ,1
ونتي زي النور في طبق بنور  ,1
ولا حاجه ادي التويتر اهه انا قايم اذاكر انا ايه اللي مخليني فتحت انا مش عندي امتحان بكره  ,0
النهارده في بطوله جديده هتدخل دولاب بطولات نادي الزمالك  ,1
الاخ الاهطل والاخت العبيطه اللي بتقول الزمالكاويه بيفرحو في خساره الاهلي اكتر ما بيفرحو عشان مكسب الزمالك سيتك مين الاهلي ده اصلا  ,0
ده اسود في تاريخنا    لازم نرد القلم ده ميه  ,0
وانا وربنا عندي بااااااااطنه     ,0
كفايا جماعه انتو لما بتصدقوا احااا مش كده والله كسم الاهلي الاتحاد الدوري المصري علي مصر علي الرياضه بشكل عام  ,0
الزمالكاويه اللي بيزيطوا ان الاهلي اتغلب اتلموا بدل ما نردح وشكلكوا يبقي وحش اكتر ما هوا  ,0
 داءما نعرف  الحقيقه   وداءما نخدع انفسنا بكلمه      يمكن      ,0
زميلي  ,2
   جدعان لو سمحتوا مش كل واحد عنده ميتين ام عقده نفسيه يروح داخل شاتم حد علي اسك ما تتعالجوا تنتحروا والله  D      ,0
ابتسام وعبدالسلام فين كلهم قاعدين بيحتفلو وهما مش قاعدين معاهم  ,2
تعريف الفساد تسخير المنصب العام اجل الحصول علي مصلحه او منفعه خاصه يحميه الاستبداد والقمع ويحميه الجهل والتخلف امنت العقوبه اسء الادب  ,2
        العميد  دبح  الاهلي  فاز فريق الاتحاد السكندري علي نظيره الاهلي بنتيجه 4 1  في مباراتهما باستاد القاهره          ,2
ده مفهوم الرياضه  ,2
قصدك علي شاهين  لا الله يغني كل الالوان مش متمسك بلون غناءي واحد    الحمد لله لمع في كل الالوان مغربي جزاءري فرينش صيني     ,1
وليه نكون مع نفسنا لما ممكن ان احنا نتجمع كلنا التفكير الفردي عمره ما جاب نتيجه كويسه في النهايه  زهقنا_من  ,0
بيسكروا   ,2
يسعدك ياغالي    ,1
سرعه البديهه حسن التصرف المتلازمه الانجح الاكثر ابهارا بنسبالي  ,2
انا اللي كتر ما اتقلي فاشل حاسيس اني فاشلت بجد  ,0
 متضامن_مع_باسم_يوسف الموقف الواحد والكلمه الوحده والاعلام الصح مثال لاحلي حاجه الاعلام عندنا ربنا معاك  ,1
احنا جيل اللي شاب شباب      ,0
انا مازكرتش بجنيه النهارده اعاااااااااااااااااااااااااا  ,0
طلعان عين ابونا في الثانويه العامه دي  ,0
اوكي  ,2
ميري قريصمص احبيب قلبي   lt 3  lt 3  lt 3 روح افطر يلا    P  ,1
طول مانتي جنبي   بلاقيكي تملي وش السعد عليا حبيبه قلبي   ومعاكي ناقصني ايه   ,1
ولا بايديه ولا كان بايدياا  ,0
انا بحب النوم اوي بحب السرير المخده  D ياااااه لاحساس عظيم  D انا قادمه سريري تصبحوا علي سعاده خير  _   ,1
ممكن نتعرف علي بنوته  ,2
اقرار محمد منير     3alahwa  ,2
العشق زين بس الهموم سباقه  ,0
اتفرجوا علي الفيديو واقراوا الكلام المكتوب تحته وقولولي انطباعكم  ,2
الكنترول انهارده اخر حرام علي امك بقي عايزين نشوف دعاء السباعي ليث ابو جوده ارحم امنا العيانه  DoaaElSebaii  LaithAbuJoda  ,0
حلوه الوحده اوي والهدء  ,1
روح عبدالسلام وراها اشمعنا دي يعني الكنترول ده مستكتر علينا ننام مبسوطين  DoaaElSebaii  StaracArabia  ,0
رغم ان الجمال نسبي    بس جمال يخطف العقل قبل العين       ,1
مش هنخسر حاجه اكيد     ,1
حاجه محزنه نوعا ما فعلا  ,0
الحظ     ,0
   شغل المشجع النظيف بتاع محمد نبي وعيسي نبي وموسي نبي ده ماينفعش  كسم فرقه مابشجعهاش بالذات اللي معايا نفس المدينه اللي بتنافسني بطوله      ,0
موافقه جدا  ,1
عايزه اطبطب علي نفسي واقولها انتي تعبتي استحملتي كتير معلش  ,0
